,Happiness,Log GDP per capita,Confidence in national government,Social support,Healthy life expectancy at birth,Generosity,GINI_index,Expenditure_on_education,homicide,economic_freedom_index,university_enrollment_rate,alcohol,unemployment_rate,total_food_consumption,suicide,total_visitors,log_child_mortality_rate,log_Expenditure_on_health,log_income,log_visitor_per_hectare
22,7.415144444,10.64220619,0.523448169,0.948128343,71.33097076,0.274329185,0.337775,5.3,1.6,79.9,40.95390625,8.3,7.199999809,3419.0,9.8,16344000,1.66770682056,8.65154924392,10.7765158144,0.640445413161
23,4.03297472,7.581354141,0.30277133,0.672866464,43.81139755,-0.041087877,0.4157,2.5,9.2,44.8,2.2,0.62,7.0,2124.0,4.7,86000,5.02124547321,3.36729582999,6.79234442747,-1.78202303056
24,6.599128723,9.959015846,0.343267798,0.855235577,70.78299713,0.181994438,0.525116667,4.6,2.5,78.3,79.4,6.76,6.400000095,2989.0,12.2,3554000,2.15176220326,7.01031186731,9.50465043072,1.58512235567
25,5.094917297,9.307193756,0.447820819719,0.787818193,68.18089294,-0.201555297,0.4244,4.43070866142,0.8,51.2,27.2,5.74,4.5,3098.0,7.8,57725000,2.59525470696,5.79605775077,8.57998017952,1.83236844794
26,6.374879837,9.379268646,0.357382864,0.914372623,63.37839508,-0.016154712,0.563128571,4.4,31.3,68.0,46.2,4.44,10.60000038,2752.0,5.4,2175000,2.85647020622,6.30444880242,8.78017265123,0.722872229661
27,3.955640316,7.211380005,0.464862645,0.719217896,53.49835205,-0.062028043,0.5593,5.1,7.8,45.7,8.6,0.12,6.5,2893.9140625,16.9,0,4.39321382406,4.00733318523,6.63594655569,-2.30258509299
28,3.919341803,8.647892952,0.541932642,0.622330368,51.63042831,-0.151900098,0.43745,2.2,10.5,43.8,10.4,3.82,6.599999905,2195.0,9.6,256000,3.96271611974,4.84418708646,7.86365126545,-0.162949648126
29,4.63922739,6.462387562,0.437570214,0.769545972,48.95344543,0.000880676,0.43155,2.2,12.5,41.1,7.9,1.82,8.199999809,2893.9140625,10.1,167000,4.68675017298,2.7080502011,5.75574221359,-1.75063280624
30,7.272250175,9.517026901,0.280074805,0.902206898,69.04676056,0.047424659,0.492464286,6.9,8.7,68.0,49.3,3.34,7.800000191,2898.0,6.7,2343000,2.31253542385,6.83518458615,9.0453477973,3.82836291293
31,6.027634621,9.912589073,0.311118603,0.775817871,67.06228638,-0.248342052,0.3119,4.2,1.2,60.9,61.7,11.49,15.80000019,3052.0,11.6,10369000,1.58923520512,6.93731408122,9.49046898877,5.22247825491
